catalogNbr,coreq_text,course_code,created_at,description,id,instructors,outcomes,prereq_confidence,prereq_courses_mentioned,prereq_has_complex_logic,prereq_text,roster,subject,title,titleShort,unitsMax,unitsMin
2090,,CHEM 2090,2025-08-17T20:38:24.908939,"CHEM 2090 is the lecture component of Engineering General Chemistry. Covers basic chemical concepts, such as reactivity and bonding of molecules, introductory quantum mechanics, and intermolecular forces in liquids and solids and gases. Attention will be focused on aspects and applications of chemistry most pertinent to engineering.",FA25-CHEM-2090-1,"[""ptw2""]",,0.0,0,True,high school chemistry or permission of instructor.,FA25,CHEM,Engineering General Chemistry,Engineering General Chemistry,3.0,3.0
2091,,CHEM 2091,2025-08-17T20:38:24.908957,"CHEM 2091 is the laboratory component of CHEM 2090 Engineering General Chemistry. Covers basic chemical concepts, such as reactivity and bonding of molecules, introductory quantum mechanics, and intermolecular forces in liquids and solids and gases. Attention will be focused on aspects and applications of chemistry most pertinent to engineering.",FA25-CHEM-2091-1,"[""jel363"", ""jel363"", ""jel363"", ""jel363"", ""jel363""]",,0.0,0,False,,FA25,CHEM,Engineering General Chemistry Laboratory,Engineering General Chemistry Laboratory,1.0,1.0
2150,,CHEM 2150,2025-08-17T20:38:24.908965,"Intensive systematic study of the laws and concepts of chemistry, with considerable emphasis on quantitative aspects. CHEM 2150 covers electronic structure of atoms, chemical bonding, thermodynamics, kinetics, and equilibrium. This course serves as an accelerated entry into organic chemistry in the Spring semester for students with a strong background in chemistry. Laboratory work covers qualitative and quantitative analysis, thermodynamics, kinetics transition metal chemistry, and spectroscopic techniques.",FA25-CHEM-2150-1,"[""ajm557""]",,0.0,0,False,,FA25,CHEM,Honors General and Inorganic Chemistry,Honors General and Inorganic Chemistry,4.0,4.0
2510,,CHEM 2510,2025-08-17T20:38:24.908973,"Introduction to the synthesis, separation, characterization, and handling of materials, including chromatography, extraction, crystallization, infrared spectroscopy, and others. An experiment is performed the first week of lab. Students need to enroll in the course Canvas site and complete the appropriate pre-lab assignments outlined on that site before coming to the first lab.",FA25-CHEM-2510-1,"[""clk10""]",,0.0,0,False,,FA25,CHEM,Introduction to Experimental Organic Chemistry,Introduction to Experimental Organic Chemistry,2.0,2.0
2770,,CHEM 2770,2025-08-17T20:38:24.908980,CHEM 2770 is the first teaching methods companion class to CHEM 2070 and CHEM 2080. CHEM 2770 students will co-lead weekly 2-hour review sessions; meet in 2-hour group meetings to develop and refine teaching materials; attend a 1-hour discussion class on a current STEM pedagogical theory; and assess teaching progress for 1-hour (all activities on a weekly basis).,FA25-CHEM-2770-1,"[""sl137"", ""mah11""]",,0.9,2,True,CHEM 2070 and CHEM 2080.,FA25,CHEM,Methods in Chemical Education I,Methods in Chemical Education I,2.0,1.0
2780,,CHEM 2780,2025-08-17T20:38:24.908996,CHEM 2780 is the second teaching methods companion class to CHEM 2070 and CHEM 2080. CHEM 2780 students will co-lead weekly 2-hour review sessions; meet in 2-hour group meetings to develop and refine teaching materials; attend a 1-hour discussion class on a current STEM pedagogical theory; and assess teaching progress for 1-hour (all activities on a weekly basis).,FA25-CHEM-2780-1,"[""sl137"", ""clk10""]",,0.9,2,True,CHEM 2070 and CHEM 2080.,FA25,CHEM,Methods in Chemical Education II,Methods in Chemical Education II,2.0,1.0
3020,,CHEM 3020,2025-08-17T20:38:24.909009,"Chemical and instrumental methods of analysis, including fluorescence spectroscopy, electrochemistry, UV-vis absorption spectroscopy, infrared spectroscopy, and gas chromatography. Error analysis, experiment design, and data analysis using Jupyter notebooks.",FA25-CHEM-3020-1,"[""jam99""]",,0.0,0,False,,FA25,CHEM,Honors Experimental Chemistry II,Honors Experimental Chemistry II,5.0,5.0
3570,,CHEM 3570,2025-08-17T20:38:24.909016,"Study of the important classes of carbon compounds-including those encountered in the biological sciences. The course emphasizes their three-dimensional structures, mechanisms of their characteristic reactions, their synthesis, methods of identifying them, and their role in modern science and technology.",FA25-CHEM-3570-1,"[""bg18"", ""bg18""]",,0.6000000000000001,1,True,"CHEM 2080 or advanced placement, or permission of instructor.",FA25,CHEM,Organic Chemistry for the Life Sciences,Organic Chemistry for the Life Sciences,3.0,3.0
3580,,CHEM 3580,2025-08-17T20:38:24.909028,"The course emphasizes the important classes of organic compounds, with particular emphasis on their three-dimensional structures, mechanisms of their characteristic reactions, their synthesis, methods for their identification, and their applications in modern technology and medicine.",FA25-CHEM-3580-1,"[""clk10""]",,0.6000000000000001,1,True,CHEM 3570 or permission of instructor.,FA25,CHEM,Organic Chemistry for the Life Sciences,Organic Chemistry for the Life Sciences,3.0,3.0
3600,,CHEM 3600,2025-08-17T20:38:24.909039,Rigorous and systematic study of organic chemistry with a focus on molecules that have biological applications. The course emphasizes a mechanistic understanding of organic reactions and applies this knowledge toward complex systems such as amino acids and carbohydrates.,FA25-CHEM-3600-1,"[""pjm347""]",,0.6000000000000001,1,True,CHEM 3590 or permission of instructor.,FA25,CHEM,Honors Organic Chemistry II,Honors Organic Chemistry II,3.0,3.0
3870,,CHEM 3870,2025-08-17T20:38:24.909050,"Survey of the fundamental principles of physical chemistry, The course covers thermodynamics, chemical kinetics, enzyme kinetics, and the electronic structure of atoms and molecules. CHEM 3870 satisfies the minimum requirement for physical chemistry for the chemistry major.",FA25-CHEM-3870-1,"[""eht45""]",,0.6000000000000001,4,True,"CHEM 2080, MATH 1110 and MATH 1120, and PHYS 2208, or permission of instructor.",FA25,CHEM,Principles of Physical Chemistry,Principles of Physical Chemistry,3.0,3.0
3890,,CHEM 3890,2025-08-17T20:38:24.909063,"CHEM 3890-CHEM 3900 is a year-long sequence covering key topics in physical chemistry. CHEM 3890 introduces the use of mathematics and physics to investigate chemical systems. The fundamental principles of quantum mechanics are introduced and applied to understanding the structure and spectra of atoms and molecules. Specific topics include exact and approximate solutions to the Schrodinger equation, angular momentum, bonding and molecules, and spectroscopy. CHEM 3900 follows with an introduction to the behavior of ensembles of quantum particles (statistical mechanics), the laws of thermodynamics, and kinetic theory.",FA25-CHEM-3890-1,"[""gse1""]",,0.6000000000000001,6,True,"CHEM 2080 and PHYS 2208, and CHEM 3890, and MATH 1920, MATH 2220 or MATH 2310, or permission of instructor.",FA25,CHEM,Honors Physical Chemistry I,Honors Physical Chemistry I,4.0,4.0
4210,,CHEM 4210,2025-08-17T20:38:24.909081,"Research in inorganic chemistry involving both laboratory and library work, planned in consultation with a faculty member.",FA25-CHEM-4210-1,"[""kml236"", ""sl137"", ""ptw2"", ""jjw275""]",,0.6000000000000001,6,True,"CHEM 3030 and CHEM 3890-CHEM 3900 or CHEM 3870-CHEM 3880 and CHEM 2900 with average of B- or better, or permission of instructor.",FA25,CHEM,Introduction to Inorganic Chemistry Research,Introduction to Inorganic Chemistry Research,4.0,2.0
4330,,CHEM 4330,2025-08-17T20:38:24.909097,"Research in analytical chemistry involving both laboratory and library work, planned in consultation with a faculty member.",FA25-CHEM-4330-1,"[""bc69"", ""fs31"", ""dbz1""]",,0.6000000000000001,2,True,CHEM 3030 and CHEM 3900 with average of B- or better or permission of instructor.,FA25,CHEM,Introduction to Analytical Chemistry Research,Introduction to Analytical Chemistry Research,4.0,1.0
4430,,CHEM 4430,2025-08-17T20:38:24.909111,"Research in chemical biology involving both laboratory and library work, planned in consultation with a faculty member.",FA25-CHEM-4430-1,"[""pc252"", ""na49"", ""bc69"", ""mea254"", ""bab13"", ""jmb772"", ""rac1"", ""fs31"", ""pvc29""]",,0.0,0,False,,FA25,CHEM,Introduction to Chemical Biology Research,Introduction to Chemical Biology Research,4.0,1.0
4500,,CHEM 4500,2025-08-17T20:38:24.909118,"This course provides an introduction to both the fundamental biochemistry of living systems, including the structure and synthesis of biological macromolecules, and modern approaches that combine organic chemistry with emerging techniques from the chemical and life sciences to interrogate biological systems.",FA25-CHEM-4500-1,"[""jmb772""]",,0.6000000000000001,4,True,"CHEM 3570-CHEM 3580, or CHEM 3590-CHEM 3600 or equivalent.",FA25,CHEM,Principles of Chemical Biology,Principles of Chemical Biology,3.0,3.0
4610,,CHEM 4610,2025-08-17T20:38:24.909137,"Research in organic chemistry involving both laboratory and library work, planned in consultation with a faculty member.",FA25-CHEM-4610-1,"[""pjm347"", ""gc39"", ""dbc6"", ""bg18"", ""thl36"", ""cko3"", ""fs31"", ""bpf46"", ""jmb772"", ""sl2757"", ""ubw1"", ""mea254"", ""pvc29""]",,0.6000000000000001,3,True,CHEM 3020 and CHEM 3580 or CHEM 3600 with grade of B- or better or permission of instructor.,FA25,CHEM,Introduction to Organic Chemistry Research,Introduction to Organic Chemistry Research,4.0,2.0
4770,,CHEM 4770,2025-08-17T20:38:24.909155,"Research in physical chemistry involving both laboratory and library work, planned in consultation with a faculty member.",FA25-CHEM-4770-1,"[""hda1"", ""na346"", ""bab13"", ""bc69"", ""hfd1"", ""mah11"", ""jam99"", ""pc252"", ""rac1"", ""na49"", ""rad332"", ""jhf3"", ""rfl2"", ""ajm557"", ""ms2736"", ""ll564"", ""eht45"", ""yy639""]",,0.6000000000000001,1,True,CHEM 3900 with average of B- or better or permission of instructor.,FA25,CHEM,Introduction to Physical Chemistry Research,Introduction to Physical Chemistry Research,4.0,1.0
5110,,CHEM 5110,2025-08-17T20:38:24.909166,Discussion of and demonstration of facilities relevant to modern chemical research.,FA25-CHEM-5110-1,"[""dbz1""]",,0.0,0,False,,FA25,CHEM,Chemical Facilities Boot Camp,Chemical Facilities Boot Camp,1.0,1.0
5120,,CHEM 5120,2025-08-17T20:38:24.909172,Supervision of Capstone Research Project.,FA25-CHEM-5120-1,"[""dbz1""]",,0.9,1,False,CHEM 5110.,FA25,CHEM,Capstone Research Project,Capstone Research Project,5.0,1.0
6050,,CHEM 6050,2025-08-17T20:38:24.909184,"A group theoretical analysis of bonding in main group compounds will be followed by a survey of modern coordination chemistry, including rudimentary spectroscopy and magnetism, and inorganic reaction mechanisms.",FA25-CHEM-6050-1,"[""jak568""]",,0.6000000000000001,3,True,"CHEM 3890-CHEM 3900, CHEM 4100 or equivalent or permission of instructor.",FA25,CHEM,"Advanced Inorganic Chemistry I: Symmetry, Structure, and Reactivity","Advanced Inorganic Chemistry I: Symmetry, Structure, and Reactivity",3.0,3.0
6291,,CHEM 6291,2025-08-17T20:38:24.909196,"Electrochemistry is involved with electrified interfaces and the interaction/interconversion of chemical and electrical energy. This course focuses on the fundamentals of interfacial phenomena including electrode kinetics, electron transfer theory, the electrical double layer, mass transport, and diffusion processes. The course will cover a broad range of electrochemical methods to advance our understanding of structure-property relationships of energy materials. The course will also include selected current topics including: (1) Advanced renewable energy conversion and storage technologies, such as CO2 reduction, H2 production, lithium batteries, and solar cells. (2) Introduction to the state-of-the-art development of analytical methods including electron microscopy and X-ray methods. (3) Electrochemistry with interdisciplinary overlap with solid-state chemistry and materials science, such as photoelectrochemistry, organic electrochemistry, and bioelectrochemistry.",FA25-CHEM-6291-1,"[""yy639""]",,0.39999999999999997,1,True,physical chemistry (CHEM 3870 or 3890/ 3900) or equivalent.,FA25,CHEM,Electrochemistry of Energy Materials,Electrochemistry of Energy Materials,3.0,3.0
6450,,CHEM 6450,2025-08-17T20:38:24.909207,"This course provides an introduction to both the fundamental biochemistry of living systems, including the structure and synthesis of biological macromolecules, and modern approaches that combine organic chemistry with emerging techniques from the chemical and life sciences to interrogate biological systems.",FA25-CHEM-6450-1,"[""jmb772""]",,0.6000000000000001,4,True,CHEM 3570-CHEM 3580 or CHEM 3590-CHEM 3600 or equivalent.,FA25,CHEM,Principles of Chemical Biology,Principles of Chemical Biology,3.0,3.0
6650,,CHEM 6650,2025-08-17T20:38:24.909227,"The course focuses on stereoelectronic properties of organic compounds, conformational analysis, reaction thermodynamics and kinetics, stereochemistry, reactive intermediates, and catalysis. Case studies will focus on applications of these concepts and corresponding techniques that lead to creative design of selective organic synthesis and mechanistic insights into complex organic transformations. A particular emphasis is on the development of chemical and mechanistic intuition that will facilitate the students' laboratory research efforts.",FA25-CHEM-6650-1,"[""sl2757""]",,0.6000000000000001,3,True,"CHEM 3900 and CHEM 3580, or CHEM 3600, or equivalents, or permission of instructor.",FA25,CHEM,Advanced Organic Chemistry,Advanced Organic Chemistry,3.0,3.0
6690,,CHEM 6690,2025-08-17T20:38:24.909240,"Catalysis is fundamental and essential to modern organic synthesis. This course will cover topics in transition metal catalysis, biocatalysis, photoredox catalysis, and electrosynthesis with a focus on reaction mechanism and synthetic applications. Topics of current interest are emphasized. Transition metal-based catalysts are invaluable in both organic and polymer synthesis. This course begins with an overview of organometallic chemistry and catalysis. Subsequent modules on catalytic synthesis of small molecules and polymers are then presented. Topics of current interest are emphasized.",FA25-CHEM-6690-1,"[""mnl52""]",,0.6000000000000001,3,True,"CHEM 3580 or CHEM 3600, and CHEM 4100, or permission of instructor.",FA25,CHEM,Modern Catalytic Reactions in Organic Synthesis,Modern Catalytic Reactions in Organic Synthesis,3.0,3.0
6860,,CHEM 6860,2025-08-17T20:38:24.909252,"Physical studies of proteins, with emphasis on using single molecule methodologies and on studies of metalloproteins. Topics include: Physical/chemical concepts that include chemical structure and conformation of proteins, protein folding energy landscape, electron transfer theory, enzyme catalysis, chemical kinetics, and single-molecule kinetics. Experimental methodologies that include absorption and emission spectroscopy, fluorescence energy resonance transfer, confocal microscopy, total internal reflection fluorescence, single molecule spectroscopy, time correlated single photon counting, fluorescence correlation spectroscopy, atomic force microscopy, optical tweezers, magnetic tweezers, super-resolution imaging with optical microscopy. Protein structure and function that includes metalloprotein structure/function (bioinorganic chemistry), GFP and variants, protein labeling, motor proteins, protein-protein interactions, protein-DNA interactions, and live-cell imaging.",FA25-CHEM-6860-1,"[""pc252"", ""pc252""]",,0.6000000000000001,2,True,"CHEM 3880 or CHEM 3900, or equivalents.",FA25,CHEM,Physical Chemistry of Proteins,Physical Chemistry of Proteins,3.0,3.0
6890,,CHEM 6890,2025-08-17T20:38:24.909263,"CHEM 6890-CHEM 6900 is a year-long sequence covering key topics in physical chemistry. CHEM 6890 introduces the use of mathematics and physics to investigate chemical systems. The fundamental principles of quantum mechanics are introduced and applied to understanding the structure and spectra of atoms and molecules. Specific topics include exact and approximate solutions to the Schrodinger equation, angular momentum, bonding and molecules, and spectroscopy.",FA25-CHEM-6890-1,"[""gse1""]",,0.0,0,False,,FA25,CHEM,Honors Physical Chemistry I,Honors Physical Chemistry I,4.0,4.0
7910,,CHEM 7910,2025-08-17T20:38:24.909270,"The chief aim of this course is to provide an understanding of how the tools of modern spectroscopy can be applied to unravel the structural and dynamical properties of molecular systems, with a focus on optical techniques. The course will briefly cover the theoretical basis of light-matter interactions and factors governing the vibrational and electronic spectra of diatomic and polyatomic molecules. The main portion of the course will address current topics in spectroscopic research with a survey of different techniques and the theory behind them. By the end of the course, students will be equipped to understand and interpret the results of a wide array of steady-state and optical spectroscopic techniques applied to complex molecules.",FA25-CHEM-7910-1,"[""yb293""]",,0.0,0,False,,FA25,CHEM,Advanced Spectroscopy,Advanced Spectroscopy,3.0,3.0
7930,,CHEM 7930,2025-08-17T20:38:24.909277,"A modern introduction to quantum mechanics (QM). Topics will include: the quantum state vector, the probabilistic interpretation of QM, the mathematical language of QM, angular momentum, QM in the continuum, solutions to the Schrodinger equation for simple 1D applications, the coulomb potential and the hydrogen-atom, independent particles, the variational approach, and time-independent perturbation theory.",FA25-CHEM-7930-1,"[""na346""]",,0.0,0,False,,FA25,CHEM,Quantum Mechanics I,Quantum Mechanics I,3.0,3.0
7960,,CHEM 7960,2025-08-17T20:38:24.909284,"Introduces the fundamentals of statistical mechanics: ensembles, distributions, averages, and fluctuations, building to the treatment of systems of interacting molecules. Topics from equilibrium statistical mechanics include structure and thermodynamics of molecular liquids, critical phenomena, and computational statistical mechanics. Topics from nonequilibrium statistical mechanics include spectroscopy, chemical kinetics, transport, and the microscopic origins of irreversibility.",FA25-CHEM-7960-1,"[""rfl2""]",,0.0,0,False,,FA25,CHEM,Statistical Mechanics,Statistical Mechanics,3.0,3.0
1110,,CS 1110,2025-08-17T20:38:24.909294,"Programming and problem solving using Python. Emphasizes principles of software development, style, and testing. Topics include procedures and functions, iteration, recursion, arrays and vectors, strings, an operational model of procedure and function calls, algorithms, exceptions, object-oriented programming. Weekly labs provide guided practice on the computer, with staff present to help.",FA25-CS-1110-1,"[""wmw2"", ""wmw2"", ""wmw2"", ""wmw2"", ""wmw2"", ""wmw2"", ""wmw2"", ""wmw2"", ""wmw2"", ""wmw2"", ""wmw2"", ""wmw2"", ""wmw2"", ""wmw2""]",,0.0,0,False,,FA25,CS,Introduction to Computing: A Design and Development Perspective,Introduction to Computing: A Design and Development Perspective,4.0,4.0
1112,,CS 1112,2025-08-17T20:38:24.909303,"Programming and problem solving using Python. Emphasizes the systematic development of algorithms and programs. Topics include iteration, functions, arrays, strings, recursion, object-oriented programming, algorithms, and data handling and visualization. Assignments are designed to build an appreciation for complexity, dimension, randomness, simulation, and the role of approximation in engineering and science. Weekly discussion section provides guided practice on the computer, with staff present to help.",FA25-CS-1112-1,"[""kdf4"", ""kdf4"", ""kdf4"", ""kdf4"", ""kdf4"", ""kdf4"", ""kdf4""]",,0.6000000000000001,1,True,MATH 1110 or equivalent.,FA25,CS,Introduction to Computing: An Engineering and Science Perspective,Introduction to Computing: An Engineering and Science Perspective,4.0,4.0
1132,,CS 1132,2025-08-17T20:38:24.909314,"Introduction to the MATLAB programming language. Covers the basic programming constructs of MATLAB, including assignment, conditionals, iteration, functions, arrays, vectorized computation, scientific graphics, and file input/output. Designed for students who need MATLAB for research or other courses. Does not assume any previous programming experience.",FA25-CS-1132-1,"[""kdf4"", ""kdf4""]",,0.0,0,False,,FA25,CS,Short Course in MATLAB,Short Course in MATLAB,1.5,1.5
1133,,CS 1133,2025-08-17T20:38:24.909321,"Introduction to the Python programming language. Covers the basic programming constructs of Python, including assignment, conditionals, iteration, functions, object-oriented design, arrays, and vectorized computation. Designed for students who need Python for research or other courses. Does not assume any previous programming experience.",FA25-CS-1133-1,"[""jz563""]",,0.0,0,False,,FA25,CS,Short Course in Python,Short Course in Python,1.5,1.5
1710,,CS 1710,2025-08-17T20:38:24.909327,"This course provides an introduction to the science of the mind. Everyone knows what it's like to think and perceive, but this subjective experience provides little insight into how minds emerge from physical entities like brains. To address this issue, cognitive science integrates work from at least five disciplines: Psychology, Neuroscience, Computer Science, Linguistics, and Philosophy. This course introduces students to the insights these disciplines offer into the workings of the mind by exploring visual perception, attention, memory, learning, problem solving, language, and consciousness.",FA25-CS-1710-5,"[""lsc96""]",,0.0,0,False,,FA25,CS,Introduction to Cognitive Science,Introduction to Cognitive Science,3.0,3.0
1998,,CS 1998,2025-08-17T20:38:24.909336,First-year and Nontechnical Team Projects.,FA25-CS-1998-1,"[""wmw2"", ""wmw2"", ""acm22""]",,0.0,0,False,,FA25,CS,First-year and Nontechnical Team Projects,First-year and Nontechnical Team Projects,3.0,1.0
2024,,CS 2024,2025-08-17T20:38:24.909343,"An intermediate introduction to the C++ programming language and the C/C++ standard libraries. Topics include basic statements, declarations, and types; stream I/O; user-defined classes and types; derived classes, inheritance, and object-oriented programming; exceptions and templates. Recommended for students who plan to take advanced courses in computer science that require familiarity with C++ or C.",FA25-CS-2024-1,"[""rd29""]",,0.0,0,True,one programming course or equivalent programming experience.,FA25,CS,C++ Programming,C++ Programming,2.0,2.0
2110,,CS 2110,2025-08-17T20:38:24.909355,"Intermediate programming in a high-level language and introduction to software engineering. Topics include object-oriented programming (objects, classes, subtypes, encapsulation, polymorphism), program correctness (specifications, invariants, testing), algorithm analysis (asymptotic complexity, big O notation), recursion, data structures (lists, trees, stacks, queues, heaps, hash tables, graphs), iteration and searching/sorting, graph algorithms, and concurrent and event-driven programming (graphical user interfaces, synchronization). Java is the principal programming language.",FA25-CS-2110-1,"[""mae226"", ""mae226"", ""mae226"", ""mae226"", ""mae226"", ""mae226"", ""mae226"", ""mae226"", ""mae226""]",,0.6000000000000001,2,True,CS 1110 or CS 1112 or equivalent course on programming in a procedural language.,FA25,CS,Object-Oriented Programming and Data Structures,Object-Oriented Programming and Data Structures,4.0,4.0
2112,,CS 2112,2025-08-17T20:38:24.909370,"Intermediate software design and introduction to key computer science ideas. Topics are similar to those in CS 2110 but are covered in greater depth, with more challenging assignments. Topics include object-oriented programming, program structure and organization, program reasoning using specifications and invariants, recursion, design patterns, concurrent programming, graphical user interfaces, data structures as in CS 2110, sorting and graph algorithms, asymptotic complexity, and simple algorithm analysis. Java is the principal programming language.",FA25-CS-2112-1,"[""acm22"", ""acm22"", ""acm22"", ""acm22"", ""acm22"", ""acm22""]",,0.6000000000000001,2,True,"excellent performance in CS 1110, CS 1112 or equivalent course in Java or C++, or permission of instructor.",FA25,CS,Object-Oriented Design and Data Structures - Honors,Object-Oriented Design and Data Structures - Honors,5.0,5.0
2800,,CS 2800,2025-08-17T20:38:24.909385,"Covers the mathematics that underlies most of computer science. Topics include mathematical induction; logical proof; propositional and predicate calculus; sets, functions, and relations; graphs; combinatorics and discrete mathematics; basic probability theory; and finite-state machines. These topics are discussed in the context of applications to many areas of computer science.",FA25-CS-2800-1,"[""mdm367"", ""mdm367"", ""mdm367"", ""mdm367"", ""mdm367"", ""mdm367"", ""mdm367""]",,0.6000000000000001,3,True,"MATH 1110 or equivalent, CS 1110 or CS 1112 or equivalent., or",FA25,CS,Mathematical Foundations of Computing,Mathematical Foundations of Computing,4.0,4.0
2850,,CS 2850,2025-08-17T20:38:24.909398,"This interdisciplinary course examines network structures and how they matter in everyday life. The course examines how each of the computing, economic, sociological and natural worlds are connected and how the structure of these connections affects each of these worlds. Tools of graph theory and game theory are taught and then used to analyze networks. Topics covered include the web, the small world phenomenon, markets, neural networks, contagion, search and the evolution of networks.",FA25-CS-2850-3,"[""rl932""]",,0.0,0,False,,FA25,CS,Networks,Networks,3.0,3.0
3110,,CS 3110,2025-08-17T20:38:24.909408,"Advanced programming course that emphasizes functional programming techniques and data structures. Programming topics include recursive and higher-order procedures, models of programming language evaluation and compilation, type systems, and polymorphism. Data structures and algorithms covered include graph algorithms, balanced trees, memory heaps, and garbage collection. Also covers techniques for analyzing program performance and correctness.",FA25-CS-3110-1,"[""mrc26"", ""mrc26"", ""mrc26"", ""mrc26"", ""mrc26"", ""mrc26"", ""mrc26"", ""mrc26"", ""mrc26"", ""mrc26""]",,0.7000000000000001,2,True,CS 2110 or equivalent programming experience. Prerequisite or corequisite: CS 2800.,FA25,CS,Data Structures and Functional Programming,Data Structures and Functional Programming,4.0,4.0
