catalogNbr,coreq_text,created_at,description,id,instructors,outcomes,prereq_confidence,prereq_courses_mentioned,prereq_has_complex_logic,prereq_text,roster,subject,title,titleShort,unitsMax,unitsMin
3110,,2025-08-17T17:19:40.431040,"Advanced programming course that emphasizes functional programming techniques and data structures. Programming topics include recursive and higher-order procedures, models of programming language evaluation and compilation, type systems, and polymorphism. Data structures and algorithms covered include graph algorithms, balanced trees, memory heaps, and garbage collection. Also covers techniques for analyzing program performance and correctness.",SP25-CS-3110,"[""Anshuman Mohan""]",,0.625,2,True,Prerequisite: CS 2110 or equivalent programming experience. Prerequisite or corequisite: CS 2800.,SP25,CS,Data Structures and Functional Programming,Data Struct & Functional Progr,0,0
3152,,2025-08-17T17:19:40.431055,"A project-based course in which programmers and designers collaborate to make a computer game. This course investigates the theory and practice of developing computer games from a blend of technical, aesthetic, and cultural perspectives. Technical aspects of game architecture include software engineering, artificial intelligence, game physics, computer graphics, and networking. Aesthetic and cultural include art and modeling, sound and music, game balance, and player experience.",SP25-CS-3152,"[""Walker White""]",,0.625,2,True,"Prerequisite: CS 2110 for programmers, or permission of the instructor. Corequisite: ENGRC 3152.",SP25,CS,Introduction to Computer Game Architecture,Intro Game Architecture,0,0
3410,,2025-08-17T17:19:40.431065,"Introduction to computer organization, systems programming and the hardware/ software interface. Topics include instruction sets, computer arithmetic, datapath design, data formats, addressing modes, memory hierarchies including caches and virtual memory, I/O devices, bus-based I/O systems, and multicore architectures. Students learn assembly language programming and design a pipelined RISC processor.",SP25-CS-3410,"[""Hakim Weatherspoon"", ""Zachary Susag""]",,0.6000000000000001,1,True,Prerequisite: CS 2110 or equivalent programming experience.,SP25,CS,Computer System Organization and Programming,Computer System Organization,0,0
3420,,2025-08-17T17:19:40.431078,"An introduction to the design of embedded systems, with an emphasis on understanding the interaction between hardware, software, and the physical world. Topics covered include assembly language programming, interrupts, I/O, concurrency management, scheduling, resource management, and real-time constraints.",SP25-CS-3420,"[""Nils Napp""]",,0.6,2,False,Prerequisite: ECE 2300/ENGRD 2300.,SP25,CS,Embedded Systems,Embedded Systems,0,0
3700,,2025-08-17T17:19:40.431123,"Introduction to major topics in artificial intelligence, including heuristic search, game-playing, knowledge representation and reasoning, planning, probabilistic inference, sequential decision-making and reinforcement learning.",SP25-CS-3700,"[""Kevin Ellis""]",,0.3,3,True,"Prerequisite: CS 2110/ENGRD 2110 and CS 2800, or by permission of instructor.",SP25,CS,Foundations of AI Reasoning and Decision-Making,AI Reasoning/Decision-Making,0,0
3780,,2025-08-17T17:19:40.431174,"The course provides an introduction to machine learning, focusing on supervised learning and its theoretical foundations. Topics include regularized linear models, boosting, kernels, deep networks, generative models, online learning, and ethical questions arising in ML applications.",SP25-CS-3780,"[""Tushaar Gangavarapu"", ""Karthik Sridharan""]",,0.4000000000000001,11,True,"Prerequisite: probability theory (e.g. BTRY 3080, CS 2800, ECON 3130, ENGRD 2700, MATH 4710) and linear algebra (e.g. MATH 2210, MATH 2310, MATH 2940), single-variable calculus (e.g. MATH 1110, MATH 1920) and programming proficiency (e.g. CS 2110).",SP25,CS,Introduction to Machine Learning,Intro to Machine Learning,0,0
4090,,2025-08-17T17:19:40.431369,Earn course credit for working as a consultant or ugrad TA in a computer science course.,SP25-CS-4090,"[""Haym Hirsh"", ""Dexter Kozen"", ""Walker White"", ""Thorsten Joachims"", ""Lillian Lee"", ""Claire Cardie"", ""Michael Kim"", ""Steve Marschner"", ""Christopher De Sa"", ""Rachee Singh"", ""Kavita Bala"", ""Michael Clarkson"", ""Eva Tardos"", ""Wen Sun"", ""Rachit Agarwal"", ""Robbert VanRenesse"", ""Andrew Myers"", ""Lorenzo Alvisi"", ""Kevin Ellis"", ""Hakim Weatherspoon"", ""Bharath Hariharan"", ""Nate Foster"", ""Tanya Goyal"", ""Kilian Weinberger"", ""Anke van Zuylen"", ""Anshuman Mohan"", ""David Mimno"", ""Sarah Dean"", ""Cristian Danescu-Niculescu-Mizil"", ""Joon Suk Park"", ""Curran Muhlberger"", ""Robert Kleinberg"", ""Daisy Fan""]",,,,,,SP25,CS,Teaching Experience in Computer Science,Teaching Experience in CS,0,0
4152,,2025-08-17T17:19:40.431377,"Project-based follow-up course to CS 3152. Students work in a multidisciplinary team to develop a game that incorporates innovative game technology. Advanced topics include 3D game development, mobile platforms, multiplayer gaming, and nontraditional input devices. There is a special emphasis on developing games that can be submitted to festivals and competitions.",SP25-CS-4152,"[""Walker White""]",,0.7250000000000001,6,False,"Prerequisite: CS 3152, CS 3300 or CS 3700 or CS 4620 or CS 5414. Corequisite: ENGRC 4152.",SP25,CS,Advanced Topics in Computer Game Architecture,Adv Game Architecture,0,0
4220,,2025-08-17T17:19:40.431453,"Introduction to the fundamentals of numerical linear algebra: direct and iterative methods for linear systems, eigenvalue problems, singular value decomposition. In the second half of the course, the above are used to build iterative methods for nonlinear systems and for multivariate optimization. Strong emphasis is placed on understanding the advantages, disadvantages, and limits of applicability for all the covered techniques. Computer programming is required to test the theoretical concepts throughout the course.",SP25-CS-4220,"[""Anil Damle""]",,0.6000000000000001,2,True,Prerequisite: MATH 2210 or MATH 2940 or equivalent.,SP25,CS,Numerical Analysis: Linear and Nonlinear Problems,Num Analysis: Lin&Nonlin Equat,0,0
4300,,2025-08-17T17:19:40.431487,"How to make sense of the vast amounts of information available online, and how to relate it and to the social context in which it appears? This course introduces basic tools for retrieving and analyzing unstructured textual information from the web and social media. Applications include information retrieval (with human feedback), sentiment analysis, and social analysis of text. The coursework will include programming projects that play on the interaction between knowledge and social factors.",SP25-CS-4300,"[""Cristian Danescu-Niculescu-Mizil""]",,0.1,4,True,"Prerequisite: 1) linear algebra: strong performance in MATH 2940 or equivalent; 2) discrete math: strong performance in CS 2800 or equivalent. Note: the linear algebra and discrete math requirements can also be fulfilled with a strong performance in INFO 2950; and 3) programming proficiency: CS 2110 or equivalent with strong Python skills and familiarity with IPython Notebooks, or permission of instructor.",SP25,CS,Language and Information,Language and Information,0,0
4410,,2025-08-17T17:19:40.431536,"Introduction to the design of systems programs, with emphasis on multiprogrammed operating systems. Topics include concurrency, synchronization, deadlocks, memory management, protection, input-output methods, networking, file systems and security. The impact of network and distributed computing environments on operating systems is also discussed.",SP25-CS-4410,"[""Robbert VanRenesse""]",,0.9,2,False,Prerequisite: CS 3410 or CS 3420.,SP25,CS,Operating Systems,Operating Systems,0,0
4411,,2025-08-17T17:19:40.431554,"Studies the practical aspects of operating systems through the design and implementation of an operating system kernel that supports multiprogramming, virtual memory, and various input-output devices. All the programming for the project is in a high-level language.",SP25-CS-4411,"[""Robbert VanRenesse"", ""Yu-Ju Huang""]",,0.95,1,False,Corequisite: CS 4410.,SP25,CS,Practicum in Operating Systems,Practicum in Oper Syst,0,0
4450,,2025-08-17T17:19:40.431561,"This course introduces the basic architectural and design principles of computer networking including the design of communication protocols, congestion control, routing and switching, Internet, data center networks and wireless networks.",SP25-CS-4450,"[""Rachit Agarwal""]",,,,,,SP25,CS,Introduction to Computer Networks,Intro to Computer Networks,0,0
4670,,2025-08-17T17:19:40.431567,"An in-depth introduction to computer vision. The goal of computer vision is to compute properties of our world-the 3D shape of an environment, the motion of objects, the names of people or things-through analysis of digital images or videos.  The course covers a range of topics, including 3D reconstruction, image segmentation, object recognition, and vision algorithms fro the Internet, as well as key algorithmic, optimization, and machine learning techniques, such as graph cuts, non-linear least squares, and deep learning.  This course emphasizes hands-on experience with computer vision, and several large programming projects.",SP25-CS-4670,"[""Bharath Hariharan"", ""Wei-Chiu Ma""]",,0.1,5,True,"Prerequisite: CS 2110, CS 2800, MATH 1920 or equivalent and MATH 2310 or MATH 2940 or equivalent.",SP25,CS,Introduction to Computer Vision,Intro to Computer Vision,0,0
4701,,2025-08-17T17:19:40.431628,"Artificial Intelligence project class. Topic choice is student driven and (small) teams are encouraged, but each individual team member must do substantial implementation with significant average weekly time commitment. Possible projects topics include knowledge representation systems, search procedures, game-playing, automated reasoning, machine learning, genetic algorithms, planning, natural language processing, computer vision.",SP25-CS-4701,"[""Kevin Ellis""]",,0.4000000000000001,7,True,"Prerequisite: at least one of the following courses: CS 3700, CS 3780, CS 4670, CS 4740, ECE 4200, ORIE 3741, STSCI 3740, or their equivalents. ",SP25,CS,Practicum in Artificial Intelligence,Prac in A I,0,0
4740,,2025-08-17T17:19:40.431717,"This course constitutes an introduction to natural language processing (NLP), the goal of which is to enable computers to use human languages as input, output, or both. NLP is at the heart of many of today's most exciting technological achievements, including machine translation, question answering and automatic conversational assistants. The course will introduce core problems and methodologies in NLP, including machine learning, problem design, and evaluation methods.",SP25-CS-4740,"[""Claire Cardie"", ""Tanya Goyal""]",,,,,,SP25,CS,Natural Language Processing,Natural Lang Process,0,0
4744,,2025-08-17T17:19:40.431723,"Computational models of natural languages. Topics are drawn from: tree syntax and context free grammar, finite state generative morpho-phonology, feature structure grammars, logical semantics, tabular parsing, Hidden Markov models, categorial and minimalist grammars, text corpora, information-theoretic sentence processing, discourse relations, and pronominal coreference.",SP25-CS-4744,"[""Mats Rooth""]",,0.1,5,True,"Prerequisite: Elementary Python (ex. CS 1133), LING 1101 or CS 2800 or PHIL 2310; for CS majors: Elementary Python and CS 2800.",SP25,CS,Computational Linguistics I,Computational Linguistics I,0,0
4754,,2025-08-17T17:19:40.431781,"This course provides an introduction to human robot interaction. Students will be working alone and in teams to design and examine novel ways for robots to interact with people. In parallel to the design projects students will be introduced to current research on human-robot interaction. Topics include: video interaction analysis, prototyping, and evaluation. This course will require students to re-design a physical robot using basic mechatronics skills with Arduino or similar platforms. Focus of the class will be on designing the interaction with the robot through experimentation with a physical system.",SP25-CS-4754,"[""Malte Jung""]",,0.6000000000000001,1,True,"Prerequisite or corequisite: INFO 4320, or an equivalent mechatronics course, or permission of instructor.",SP25,CS,Re-Designing Robots,Re-Designing Robots,0,0
4756,,2025-08-17T17:19:40.431792,"How do we get robots out of the labs and into the real world with all it's complexities?
Robots must solve two fundamental problems -- (1) Perception: Sense the world using different modalities and (2) Decision making: Act in the world by reasoning over decisions and their consequences. Machine learning promises to solve both problems in a scalable way using data. However, it has fallen short when it comes to robotics.
This course dives deep into robot learning, looks at fundamental algorithms and challenges, and case-studies of real-world applications from self-driving to manipulation.",SP25-CS-4756,"[""Kuan Fang""]","[""Imitation and interactive no-regret learning that handle distribution shifts, exploration/exploitation."", ""Practical reinforcement learning leveraging both model predictive control and model-free methods."", ""Learning perception models using probabilistic inference and 2D/3D deep learning."", ""Frontiers in learning from human feedback (RLHF), planning with LLMs, human motion forecasting and offline reinforcement learning.""]",0.1,9,True,"Prerequisite: CS 2800, probability theory (e.g. BTRY 3080, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920) , programming proficiency (e.g. CS 2110), and CS 3780 or equivalent or permission of instructor.",SP25,CS,Robot Learning,Robot Learning,0,0
4758,,2025-08-17T17:19:40.431927,"Creating robots capable of performing complex tasks autonomously requires one to address a variety of different challenges such as sensing, perception, control, planning, mechanical design, and interaction with humans. In recent years many advances have been made toward creating such systems, both in the research community (different robot challenges and competitions) and in industry (industrial, military, and domestic robots). This course gives an overview of the challenges and techniques used for creating autonomous mobile robots. Topics include sensing, localization, mapping, path planning, motion planning, obstacle and collision avoidance, and multi-robot control.",SP25-CS-4758,"[""Anastasia Bizyaeva""]","[""Students will be able to understand and implement localization and mapping algorithms using different sensor modalities."", ""Students will be able to generate a path and the motion for a robot moving around an area with obstacles."", ""Students will be able to understand and implement the concepts of different approaches for motion planning such as roadmaps, feedback control, and sampling based methods."", ""Students will be able to apply the tools learned in the class to physical robots.""]",1.0,0,False,Prerequisite: MATLAB programming.,SP25,CS,Autonomous Mobile Robots,Autonomous Mobile Robots,0,0
4782,,2025-08-17T17:19:40.431934,"This class is an introductory course to deep learning. It covers the fundamental principles behind training and inference of deep networks, the specific architecture design choices applicable for different data modalities, discriminative and generative settings, and the ethical and societal implications of such models.",SP25-CS-4782,"[""Kilian Weinberger"", ""Jennifer Sun""]",,0.1,6,True,Prerequisite: CS 2110 or equivalent and CS 3780 or ECE 4200 or STSCI 3740 and CS 1110 or CS 1112.,SP25,CS,Introduction to Deep Learning,Introduction to Deep Learning,0,0
4789,,2025-08-17T17:19:40.432006,Reinforcement Learning is one of the most popular paradigms for modelling interactive learning and sequential decision making in dynamical environments. This course introduces the basics of Reinforcement Learning and the Markov Decision Process. The course will cover algorithms for planning and learning in Markov Decision Processes. We will discuss potential applications of Reinforcement Learning and their implications. We will study and implement classic Reinforcement Learning algorithms.,SP25-CS-4789,"[""Wen Sun""]","[""Identify the differences between Reinforcement Learning and traditional Supervised Learning and grasp the key definitions of Markov Decision Processes."", ""Analyze the performance of the class planning algorithms and learning algorithms for Markov Decision Process."", ""Implement classic algorithms and demonstrate their performance on benchmarks.""]",0.6000000000000001,1,True,Prerequisite: CS 3780 or equivalent.,SP25,CS,Introduction to Reinforcement Learning,Intro Reinforcement Learning,0,0
4810,,2025-08-17T17:19:40.432023,"An introduction to the classical theory of computing: automata theory, formal languages, and effective computability. Topics include finite-state machines, regular languages, regular expressions, grammars, context-free languages, pushdown automata, Turing machines, recursive and recursively enumerable sets, diagonalization, reductions, undecidability, Gödel's incompleteness theorem. A complete list of topics can be found on the schedule page (subject to change). As time permits, we will explore some more modern advances such as coalgebraic methods, abstract interpretation, and concurrency.",SP25-CS-4810,"[""Dexter Kozen""]","[""Formally define deterministic and nondeterministic finite automata (DFAs and NFAs, respectively), regular languages, and the notion of acceptance."", ""Convert NFAs to DFAs using the subset construction."", ""Apply various constructions to produce automata for the intersection, union, and complements of regular sets.""]",0.6000000000000001,1,True,Prerequisite: CS 2800 or permission of instructor.,SP25,CS,Introduction to Theory of Computing,Intro Theory Comp,0,0
4813,,2025-08-17T17:19:40.432039,"Quantum computing is an interdisciplinary field that lies at the intersection of computer science, mathematics, and physics. This computational paradigm relies on principles of quantum mechanics, such as superposition and entanglement, to obtain powerful algorithms. This course aims to provide a self-contained, comprehensive introduction to quantum computing, focusing on the design and analysis of quantum algorithms, as well as covering topics in quantum information and quantum cryptography.",SP25-CS-4813,"[""Nicholas Spooner""]","[""Demonstrate understanding of basic principles of quantum information, such as superposition and entanglement."", ""Conduct analyses of quantum algorithms."", ""Demonstrate understanding of important quantum computing techniques, such as error-correction and fault tolerance.""]",,,,,SP25,CS,Quantum Computing,Quantum Computing,0,0
4820,,2025-08-17T17:19:40.432044,"Develops techniques used in the design and analysis of algorithms, with an emphasis on problems arising in computing applications. Example applications are drawn from systems and networks, artificial intelligence, computer vision, data mining, and computational biology. This course covers four major algorithm design techniques (greedy algorithms, divide-and-conquer, dynamic programming, and network flow), undecidability and NP-completeness, and algorithmic techniques for intractable problems (including identification of structured special cases , approximation algorithms, local search heuristics, and online algorithms).",SP25-CS-4820,"[""Michael Kim""]",,0.6,2,False,"Prerequisite: CS 2800, CS 3110. ",SP25,CS,Introduction to Analysis of Algorithms,Intro Analysis of Algorithms,0,0
4850,,2025-08-17T17:19:40.432064,"Covers the mathematical foundations for access to information. Topics include high dimensional space, random graphs, singular value decomposition, Markov processes, learning theory, and algorithms for massive data.",SP25-CS-4850,"[""Robert Kleinberg""]",,0.7,5,False,"Prerequisite: CS 2800, MATH 1910, MATH 1920, MATH 2210 or MATH 2940.",SP25,CS,"Probability, Vectors, and Matrices in Computing","Prob, Vectors, Matrices in CS",0,0
4852,,2025-08-17T17:19:40.432142,"Networks II builds on its prerequisite course and continues to examine how each of the computing, economic, sociological and natural worlds are connected and how the structure of these connections affects these worlds. In this course, we will construct mathematical models for and analyze networked settings, allowing us to both make predictions about behavior in such systems, as well as reason about how to design such systems to exhibit some desirable behavior. Throughout, we will draw on real-world examples such as social networks, peer-to-peer filesharing, Internet markets, and crowdsourcing, that illustrate these phenomena.",SP25-CS-4852,"[""Cristobal Cheyre Forestier""]",,0.6000000000000001,2,True,"Prerequisite: INFO 2040, CS 2800 or equivalent.",SP25,CS,Networks II: Market Design,Networks II: Market Design,0,0
4997,,2025-08-17T17:19:40.432177,"This independent study course offers CS majors (i.e., undergraduates whose applications to affiliate with the CS major have been approved) an opportunity to reflect on concepts from computer science as they were encountered and applied in a recent internship. Students write a short paper describing their work experience and how it connects to the educational objectives of the computer science major.",SP25-CS-4997,"[""Lillian Lee""]",,,,,,SP25,CS,Practical Training in Computer Science,Practical Training in Comp Sci,0,0
4998,,2025-08-17T17:19:40.432184,Advanced independent work in computer science as part of a student-led team project. ,SP25-CS-4998,"[""Steve Marschner"", ""Karthik Sridharan"", ""Robbert VanRenesse"", ""Walker White"", ""Andrew Myers"", ""Thorsten Joachims"", ""Bharath Hariharan"", ""Rachit Agarwal"", ""Immanuel Trummer""]",,,,,,SP25,CS,Team Projects,Team Projects,0,0
4999,,2025-08-17T17:19:40.432202,Independent reading and research for undergraduates.,SP25-CS-4999,"[""Ziv Scully"", ""Thijs Roumen"", ""Yoav Artzi"", ""Christina Yu"", ""Walker White"", ""Adrian Sampson"", ""Thorsten Joachims"", ""Alexander Rush"", ""Francesca Parise"", ""Hadar Elor"", ""Nicki Dell"", ""Mats Rooth"", ""Christopher De Sa"", ""Thomas Ristenpart"", ""Alexandra Silva"", ""Michael Clarkson"", ""Eva Tardos"", ""Raaz Dwivedi"", ""Rafael Pass"", ""Ken Birman"", ""Andrew Myers"", ""Mark Campbell"", ""Kevin Ellis"", ""Phoebe Sengers"", ""Mark Wilde"", ""Vitaly Shmatikov"", ""Anne Bracy"", ""Kilian Weinberger"", ""Guy Hoffman"", ""Wendy Ju"", ""Cristian Danescu-Niculescu-Mizil"", ""Christina Delimitrou"", ""Ahmed El Alaoui"", ""Curran Muhlberger"", ""Carla Gomes"", ""Susan Fussell"", ""Haym Hirsh"", ""Justin Hsu"", ""Mert Sabuncu"", ""Bob Constable"", ""Serge Belongie"", ""Joe Halpern"", ""Aditya Vashistha"", ""Steve Marschner"", ""David Albonesi"", ""Owolabi Legunsen"", ""John Thickstun"", ""Jose Martinez"", ""Katya Scheinberg"", ""Tapomayukh Bhattacharjee"", ""Kavita Bala"", ""Shimon Edelman"", ""Rachit Agarwal"", ""Abe Davis"", ""Ramin Zabih"", ""Hakim Weatherspoon"", ""Udit Gupta"", ""Alex Conway"", ""Silvia Ferrari"", ""Jon Kleinberg"", ""Volodymyr Kuleshov"", ""Nate Foster"", ""Immanuel Trummer"", ""Christopher Batten"", ""Alex Townsend"", ""Emaad Manzoor"", ""Daniel Lee"", ""Sarah Dean"", ""Malte Jung"", ""Fengqi You"", ""Matthew Eichhorn"", ""Emma Pierson"", ""Nikhil Garg"", ""Hadas Kress-Gazit"", ""Alon Keinan"", ""Sainyam Galhotra"", ""Jennifer Sun"", ""Lillian Lee"", ""Qian Yang"", ""Giulia Guidi"", ""Anil Damle"", ""Karthik Sridharan"", ""Anil Nerode"", ""Fred Schneider"", ""Ari Juels"", ""Bart Selman"", ""Wen Sun"", ""David Matteson"", ""Mohamed Abdelfattah"", ""Robbert VanRenesse"", ""Noah Stephens-Davidowitz"", ""Deborah Estrin"", ""Kirstin Petersen"", ""A. Kevin Tang"", ""David Mimno"", ""Kuan Fang"", ""Greg Morrisett"", ""Jaehee Kim"", ""David Shmoys"", ""Robert Kleinberg"", ""Noah Snavely"", ""Daisy Fan"", ""Aaron Wagner"", ""Paul Ginsparg"", ""Mor Naaman"", ""Dexter Kozen"", ""Shiri Azenkot"", ""Tapan Parikh"", ""Claire Cardie"", ""Rajalakshmi Nandakumar"", ""Florentina Bunea"", ""Haiyuan Yu"", ""Francois Guimbretiere"", ""Zhiru Zhang"", ""Rachee Singh"", ""Kristina Monakhova"", ""Ziv Goldfeld"", ""David Bindel"", ""Donald Greenberg"", ""Jayadev Acharya"", ""David Williamson"", ""Stephen Wicker"", ""Sid Banerjee"", ""Lorenzo Alvisi"", ""Eshan Chattopadhyay"", ""Bharath Hariharan"", ""Tanya Goyal"", ""Marten van Schijndel"", ""Anke van Zuylen"", ""Tanzeem Choudhury"", ""Nathan Kallus"", ""Cheng Zhang"", ""Angelique Taylor"", ""Sanjiban Choudhury""]",,,,,,SP25,CS,Independent Reading and Research,Independent Reading & Research,0,0
5150,,2025-08-17T17:19:40.432208,"Introduction to the practical problems of specifying, designing, building, testing, and delivering reliable software systems. Special topics include professionalism, project management, and the legal framework for software development. As a central part of the course, student teams carry out projects for real clients, using concepts of agile software development. Each project includes all aspects of software development from a feasibility study to final delivery.",SP25-CS-5150,"[""Saikat Dutta""]",,0.6000000000000001,1,True,Prerequisite: CS 2110 or equivalent experience programming in Java or C++.,SP25,CS,Software Engineering,Software Engineering,0,0
5152,,2025-08-17T17:19:40.432222,"Students work in a multidisciplinary team to develop a game that incorporates innovative game technology. Advanced topics include 3D game development, mobile platforms, multiplayer gaming, and nontraditional input devices. There is a special emphasis on developing games that can be submitted to festivals and competitions.",SP25-CS-5152,"[""Walker White""]",,0.7250000000000001,6,False,"Prerequisite: CS 3152, CS 3300 or CS 4620 or CS 3700 or CS 5414. Corequisite: ENGRC 5152.",SP25,CS,Advanced Topics in Computer Game Architecture,Adv Game Architecture,0,0
